ticker,manager_count,managers,company,price,avg_portfolio_pct,max_portfolio_pct,portfolio_pct_std,total_shares,market_cap,cap_category,sector,industry,total_position_value,conviction_score,consistency_score,market_cap_display
MSFT,35,"AKO Capital, AltaRock Partners, Bill & Melinda Gates Foundation Trust, Chase Coleman - Tiger Global Management, Chris Hohn - TCI Fund Management, Christopher Davis - Davis Advisors, Daniel Loeb - Third Point, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, David Tepper - Appaloosa Management",,378.58,0.0,0,0.0,0,0,Unknown,Information Technology,Unknown,0.0,105.0,0.0,N/A
GOOGL,30,"AltaRock Partners, Bill Ackman - Pershing Square Capital Management, Bill Nygren - Oakmark Select Fund, Chase Coleman - Tiger Global Management, Chris Hohn - TCI Fund Management, Christopher Davis - Davis Advisors, David Abrams - Abrams Capital Management, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, Dodge & Cox",,155.74,0.0,0,0.0,0,0,Unknown,Technology,Unknown,0.0,90.0,0.0,N/A
GOOG,26,"Bill Ackman - Pershing Square Capital Management, Bryan Lawrence - Oakcliff Capital, Chris Hohn - TCI Fund Management, Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, David Tepper - Appaloosa Management, Dodge & Cox, Duan Yongping - H&H International Investment, First Eagle Investment Management, Francis Chou - Chou Associates",,156.23,0.0,0,0.0,0,0,Unknown,Technology,Unknown,0.0,78.0,0.0,N/A
V,24,"AKO Capital, AltaRock Partners, Chris Hohn - TCI Fund Management, Chuck Akre - Akre Capital Management, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, John Armitage - Egerton Capital, Lindsell Train",,350.82,0.0,0,0.0,0,0,Unknown,Services,Unknown,0.0,72.0,0.0,N/A
AMZN,24,"AKO Capital, AltaRock Partners, Chase Coleman - Tiger Global Management, Christopher Davis - Davis Advisors, Daniel Loeb - Third Point, David Katz - Matrix Asset Advisors, David Tepper - Appaloosa Management, Dodge & Cox, Glenn Greenberg - Brave Warrior Advisors, John Armitage - Egerton Capital",,190.26,0.0,0,0.0,0,0,Unknown,Consumer Discretionary,Unknown,0.0,72.0,0.0,N/A
META,24,"Chase Coleman - Tiger Global Management, Christopher Davis - Davis Advisors, David Abrams - Abrams Capital Management, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, David Tepper - Appaloosa Management, Dodge & Cox, First Eagle Investment Management, Francois Rochon - Giverny Capital, John Armitage - Egerton Capital",,581.28,0.0,0,0.0,0,0,Unknown,Technology,Unknown,0.0,72.0,0.0,N/A
BRK.B,20,"Bill & Melinda Gates Foundation Trust, Bruce Berkowitz - Fairholme Capital, Christopher Bloomstran - Semper Augustus, Christopher Davis - Davis Advisors, Chuck Akre - Akre Capital Management, David Katz - Matrix Asset Advisors, Duan Yongping - H&H International Investment, First Eagle Investment Management, Francois Rochon - Giverny Capital, Greenhaven Associates",,532.58,0.0,0,0.0,0,0,Unknown,Financials,Unknown,0.0,60.0,0.0,N/A
COF,18,"Bill Nygren - Oakmark Select Fund, Christopher Davis - Davis Advisors, Clifford Sosin - CAS Investment Partners, Daniel Loeb - Third Point, David Katz - Matrix Asset Advisors, Dodge & Cox, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, Harry Burn - Sound Shore, John Armitage - Egerton Capital",,179.3,0.0,0,0.0,0,0,Unknown,Financials,Unknown,0.0,54.0,0.0,N/A
UNH,17,"Chase Coleman - Tiger Global Management, Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, David Tepper - Appaloosa Management, Dodge & Cox, First Eagle Investment Management, Glenn Greenberg - Brave Warrior Advisors, Jensen Investment Management, Lee Ainslie - Maverick Capital",,519.14,0.0,0,0.0,0,0,Unknown,Health Care,Unknown,0.0,51.0,0.0,N/A
AAPL,17,"Bruce Berkowitz - Fairholme Capital, Christopher Bloomstran - Semper Augustus, David Katz - Matrix Asset Advisors, David Rolfe - Wedgewood Partners, Duan Yongping - H&H International Investment, Francis Chou - Chou Associates, Francois Rochon - Giverny Capital, Jensen Investment Management, Kahn Brothers Group, Li Lu - Himalaya Capital Management",,221.58,0.0,0,0.0,0,0,Unknown,Technology,Unknown,0.0,51.0,0.0,N/A
MA,16,"AltaRock Partners, Chuck Akre - Akre Capital Management, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, Guy Spier - Aquamarine Capital, Jensen Investment Management, John Armitage - Egerton Capital, Polen Capital Management, Terry Smith - Fundsmith, Thomas Gayner - Markel Group",,548.12,0.0,0,0.0,0,0,Unknown,Services,Unknown,0.0,48.0,0.0,N/A
TSM,16,"Chase Coleman - Tiger Global Management, Daniel Loeb - Third Point, David Rolfe - Wedgewood Partners, David Tepper - Appaloosa Management, Dodge & Cox, Duan Yongping - H&H International Investment, First Eagle Investment Management, Francois Rochon - Giverny Capital, Jensen Investment Management, Lee Ainslie - Maverick Capital",,171.09,0.0,0,0.0,0,0,Unknown,Technology,Unknown,0.0,48.0,0.0,N/A
BAC,15,"Charles Bobrinskoy - Ariel Focus Fund, Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, Dodge & Cox, Francis Chou - Chou Associates, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, Guy Spier - Aquamarine Capital, Kahn Brothers Group, Lee Ainslie - Maverick Capital",,41.73,0.0,0,0.0,0,0,Unknown,Financials,Unknown,0.0,45.0,0.0,N/A
WFC,14,"Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, Dodge & Cox, Francis Chou - Chou Associates, Harry Burn - Sound Shore, Mairs & Power Growth Fund, Richard Pzena - Hancock Classic Value, Robert Olstein - Olstein Capital Management, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group",,71.79,0.0,0,0.0,0,0,Unknown,Financials,Unknown,0.0,42.0,0.0,N/A
MCO,14,"AKO Capital, AltaRock Partners, Chris Hohn - TCI Fund Management, Chuck Akre - Akre Capital Management, Francis Chou - Chou Associates, Glenn Greenberg - Brave Warrior Advisors, Guy Spier - Aquamarine Capital, Lee Ainslie - Maverick Capital, Thomas Gayner - Markel Group, Triple Frond Partners",,465.69,0.0,0,0.0,0,0,Unknown,Financials,Unknown,0.0,42.0,0.0,N/A
BRK.A,14,"Bruce Berkowitz - Fairholme Capital, Christopher Bloomstran - Semper Augustus, Christopher Davis - Davis Advisors, First Eagle Investment Management, Francis Chou - Chou Associates, Francois Rochon - Giverny Capital, Guy Spier - Aquamarine Capital, Josh Tarasoff - Greenlea Lane Capital, Norbert Lou - Punch Card Management, Prem Watsa - Fairfax Financial Holdings",,798441.53,0.0,0,0.0,0,0,Unknown,Financials,Unknown,0.0,42.0,0.0,N/A
DIS,13,"Christopher Bloomstran - Semper Augustus, Duan Yongping - H&H International Investment, First Eagle Investment Management, Francois Rochon - Giverny Capital, Harry Burn - Sound Shore, Hillman Value Fund, Kahn Brothers Group, Lindsell Train, Robert Olstein - Olstein Capital Management, Thomas Gayner - Markel Group",,99.59,0.0,0,0.0,0,0,Unknown,Consumer Discretionary,Unknown,0.0,39.0,0.0,N/A
JPM,12,"Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, Francois Rochon - Giverny Capital, Glenn Greenberg - Brave Warrior Advisors, Greenhaven Associates, Kahn Brothers Group, Mairs & Power Growth Fund, Samantha McLemore - Patient Capital Management, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn",,245.3,0.0,0,0.0,0,0,Unknown,Financials,Unknown,0.0,36.0,0.0,N/A
SCHW,12,"Bill Nygren - Oakmark Select Fund, Christopher Davis - Davis Advisors, Dodge & Cox, Francois Rochon - Giverny Capital, Greenhaven Associates, John Rogers - Ariel Appreciation Fund, Lee Ainslie - Maverick Capital, Mairs & Power Growth Fund, Ruane Cunniff - Sequoia Fund, Thomas Gayner - Markel Group",,78.28,0.0,0,0.0,0,0,Unknown,Financials,Unknown,0.0,36.0,0.0,N/A
ORCL,11,"Charles Bobrinskoy - Ariel Focus Fund, Christopher Davis - Davis Advisors, David Tepper - Appaloosa Management, First Eagle Investment Management, Jensen Investment Management, Lindsell Train, Polen Capital Management, Thomas Russo - Gardner Russo & Quinn, Wallace Weitz - Weitz Large Cap Equity Fund, William Von Mueffling - Cantillon Capital Management",,139.81,0.0,0,0.0,0,0,Unknown,Information Technology,Unknown,0.0,33.0,0.0,N/A
CHTR,11,"Bill Nygren - Oakmark Select Fund, Bryan Lawrence - Oakcliff Capital, Dodge & Cox, First Eagle Investment Management, Richard Pzena - Hancock Classic Value, Ruane Cunniff - Sequoia Fund, Steven Romick - FPA Crescent Fund, Tom Bancroft - Makaira Partners, Triple Frond Partners, Wallace Weitz - Weitz Large Cap Equity Fund",,368.53,0.0,0,0.0,0,0,Unknown,Services,Unknown,0.0,33.0,0.0,N/A
AXP,10,"Christopher Bloomstran - Semper Augustus, Christopher Davis - Davis Advisors, David Katz - Matrix Asset Advisors, First Eagle Investment Management, Guy Spier - Aquamarine Capital, Lindsell Train, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, Torray Funds, Warren Buffett - Berkshire Hathaway",,269.05,0.0,0,0.0,0,0,Unknown,Financials,Unknown,0.0,30.0,0.0,N/A
INTU,10,"AKO Capital, David Katz - Matrix Asset Advisors, Dennis Hong - ShawSpring Partners, Jensen Investment Management, Lindsell Train, Stephen Mandel - Lone Pine Capital, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Valley Forge Capital Management, Viking Global Investors",,613.99,0.0,0,0.0,0,0,Unknown,Information Technology,Unknown,0.0,30.0,0.0,N/A
JNJ,10,"Charles Bobrinskoy - Ariel Focus Fund, David Katz - Matrix Asset Advisors, Jensen Investment Management, Mairs & Power Growth Fund, Prem Watsa - Fairfax Financial Holdings, Robert Olstein - Olstein Capital Management, Thomas Gayner - Markel Group, Torray Funds, Tweedy Browne Co. - Tweedy Browne Value Fund, Yacktman Asset Management",,165.84,0.0,0,0.0,0,0,Unknown,Health Care,Unknown,0.0,30.0,0.0,N/A
EFX,10,"AKO Capital, Bill Nygren - Oakmark Select Fund, Jensen Investment Management, Lindsell Train, Robert Olstein - Olstein Capital Management, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Valley Forge Capital Management, Wallace Weitz - Weitz Large Cap Equity Fund, William Von Mueffling - Cantillon Capital Management",,243.56,0.0,0,0.0,0,0,Unknown,Industrials,Unknown,0.0,30.0,0.0,N/A
CMCSA,10,"David Katz - Matrix Asset Advisors, Dodge & Cox, First Eagle Investment Management, Glenn Greenberg - Brave Warrior Advisors, Hillman Value Fund, Robert Olstein - Olstein Capital Management, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, Yacktman Asset Management",,36.74,0.0,0,0.0,0,0,Unknown,Consumer Discretionary,Unknown,0.0,30.0,0.0,N/A
AON,9,"David Katz - Matrix Asset Advisors, Jensen Investment Management, Polen Capital Management, Steven Romick - FPA Crescent Fund, Thomas Gayner - Markel Group, Wallace Weitz - Weitz Large Cap Equity Fund, Warren Buffett - Berkshire Hathaway, William Von Mueffling - Cantillon Capital Management, Yacktman Asset Management",,399.09,0.0,0,0.0,0,0,Unknown,Financials,Unknown,0.0,27.0,0.0,N/A
PEP,9,"David Katz - Matrix Asset Advisors, First Eagle Investment Management, Jensen Investment Management, Kahn Brothers Group, Lindsell Train, Robert Olstein - Olstein Capital Management, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, Yacktman Asset Management",,149.94,0.0,0,0.0,0,0,Unknown,Consumer Staples,Unknown,0.0,27.0,0.0,N/A
NKE,9,"Christopher Bloomstran - Semper Augustus, Hillman Value Fund, Jensen Investment Management, Lindsell Train, Polen Capital Management, Robert Olstein - Olstein Capital Management, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Viking Global Investors",,68.3,0.0,0,0.0,0,0,Unknown,Consumer Discretionary,Unknown,0.0,27.0,0.0,N/A
NVDA,9,"Chase Coleman - Tiger Global Management, Daniel Loeb - Third Point, David Katz - Matrix Asset Advisors, David Tepper - Appaloosa Management, Duan Yongping - H&H International Investment, Lee Ainslie - Maverick Capital, Mairs & Power Growth Fund, Samantha McLemore - Patient Capital Management, Viking Global Investors",,108.38,0.0,0,0.0,0,0,Unknown,Information Technology,Unknown,0.0,27.0,0.0,N/A
PM,9,"David Katz - Matrix Asset Advisors, First Eagle Investment Management, Lee Ainslie - Maverick Capital, Stephen Mandel - Lone Pine Capital, Terry Smith - Fundsmith, Thomas Gayner - Markel Group, Thomas Russo - Gardner Russo & Quinn, Viking Global Investors, Yacktman Asset Management",,158.73,0.0,0,0.0,0,0,Unknown,Consumer Staples,Unknown,0.0,27.0,0.0,N/A
